Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä - Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana
ma 11 maalis 2019 11:00;4;10;9;8;22;4;5;10;16;27;4;13;12;22;16;14;;23;;28
ma 11 maalis 2019 12:00;5;8;7;22;31;0;19;11;9;44;6;15;8;17;20;15;;12;;26
ma 11 maalis 2019 13:00;5;9;12;10;51;1;9;6;11;29;7;5;6;26;18;26;;11;;30
ma 11 maalis 2019 14:00;14;11;12;21;32;1;18;8;9;38;15;15;15;36;22;20;;29;;31
ma 11 maalis 2019 15:00;27;15;50;34;60;7;36;28;42;80;45;29;23;73;40;21;;60;;82
ma 11 maalis 2019 16:00;63;37;85;56;102;13;51;78;64;133;66;97;29;130;69;17;;101;;152
ma 11 maalis 2019 17:00;59;30;78;59;95;18;51;73;68;147;46;86;27;124;61;27;;88;;137
ma 11 maalis 2019 18:00;39;17;39;18;52;11;27;31;38;88;33;52;19;91;35;21;;43;;74
ma 11 maalis 2019 19:00;16;11;11;11;37;7;14;10;22;49;24;27;6;36;23;15;;31;;45
ma 11 maalis 2019 20:00;9;9;9;12;14;3;14;7;14;41;17;23;9;27;10;7;;28;;29
ma 11 maalis 2019 21:00;2;2;5;2;13;0;12;4;5;13;7;20;4;12;6;12;;16;;21
ma 11 maalis 2019 22:00;1;5;4;2;7;2;2;2;3;15;5;2;0;6;2;4;;7;;11
ma 11 maalis 2019 23:00;1;0;1;3;2;0;1;2;1;0;0;2;0;3;2;1;;1;;3
ti 12 maalis 2019 00:00;1;1;4;1;2;0;1;1;1;4;0;1;0;2;1;2;;1;;1
ti 12 maalis 2019 01:00;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;;0;;0
ti 12 maalis 2019 02:00;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;;0;;1
ti 12 maalis 2019 03:00;0;0;0;0;4;0;2;0;0;2;0;0;0;3;0;0;;1;;3
ti 12 maalis 2019 04:00;0;0;5;0;0;1;5;3;1;3;0;0;0;0;0;1;;5;;1
ti 12 maalis 2019 05:00;3;0;9;5;6;4;2;5;10;13;4;4;3;5;4;4;;11;;11
ti 12 maalis 2019 06:00;13;4;29;10;20;2;31;13;28;38;19;21;8;27;15;5;;45;;33
ti 12 maalis 2019 07:00;65;17;95;45;54;11;63;71;88;104;70;80;21;83;40;12;;116;;119
ti 12 maalis 2019 08:00;108;32;79;75;97;19;67;91;76;179;60;109;29;144;59;20;;123;;176
ti 12 maalis 2019 09:00;33;26;30;35;57;3;25;39;27;88;30;41;8;79;39;17;;40;;97
ti 12 maalis 2019 10:00;10;4;7;17;32;0;13;24;5;33;13;20;5;23;22;22;;19;;27
ti 12 maalis 2019 11:00;10;17;5;13;35;2;12;11;9;27;10;13;17;26;30;16;;14;;33
ti 12 maalis 2019 12:00;7;7;8;12;35;2;4;8;5;34;13;9;6;33;18;16;;17;;36
ti 12 maalis 2019 13:00;12;11;5;15;39;1;13;11;10;37;11;11;9;30;24;18;;16;;30
ti 12 maalis 2019 14:00;10;6;15;15;41;3;18;10;7;56;17;16;9;28;32;20;;23;;47
ti 12 maalis 2019 15:00;37;15;61;33;52;7;37;26;37;81;31;50;14;73;40;31;;71;;68
ti 12 maalis 2019 16:00;52;23;89;56;96;19;52;81;55;143;63;74;27;111;66;27;;93;;138
ti 12 maalis 2019 17:00;59;31;52;50;100;14;41;80;53;169;49;70;23;111;62;21;;86;;132
ti 12 maalis 2019 18:00;45;20;34;21;50;14;25;35;42;90;29;65;7;60;45;20;;55;;68
ti 12 maalis 2019 19:00;17;12;20;21;33;4;21;16;23;70;27;24;6;48;29;14;;42;;49
ti 12 maalis 2019 20:00;11;2;8;8;24;2;10;11;15;50;23;11;7;34;16;11;;20;;29
ti 12 maalis 2019 21:00;9;3;8;8;12;0;8;1;7;32;13;11;3;20;14;7;;13;;12
ti 12 maalis 2019 22:00;4;6;6;2;5;1;0;5;5;10;4;8;4;4;4;2;;7;;10
ti 12 maalis 2019 23:00;0;0;1;1;2;1;2;3;1;3;1;2;0;2;3;1;;3;;3
ke 13 maalis 2019 00:00;1;0;1;1;2;0;1;0;1;4;0;0;0;2;2;1;;0;;2
ke 13 maalis 2019 01:00;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;;1;3;0
ke 13 maalis 2019 02:00;0;0;0;0;1;1;1;0;4;0;0;0;0;1;1;1;;1;0;1
ke 13 maalis 2019 03:00;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;;1;2;0
ke 13 maalis 2019 04:00;0;0;5;0;0;1;5;0;1;1;0;0;1;0;0;1;;5;4;1
ke 13 maalis 2019 05:00;1;0;6;5;3;3;4;1;5;13;5;2;1;4;1;5;;8;2;8
ke 13 maalis 2019 06:00;13;2;36;13;19;5;28;17;38;47;21;21;10;24;14;5;;54;11;44
ke 13 maalis 2019 07:00;52;14;88;37;56;14;54;55;69;101;54;68;22;67;39;10;;101;31;91
ke 13 maalis 2019 08:00;73;20;82;66;96;14;75;103;67;186;57;97;20;125;62;17;;132;35;186
ke 13 maalis 2019 09:00;31;19;27;35;61;7;36;40;23;106;37;43;10;81;46;27;;42;16;101
ke 13 maalis 2019 10:00;11;11;10;16;46;4;14;10;14;43;18;16;7;29;23;16;;23;6;33
ke 13 maalis 2019 11:00;7;3;19;11;32;3;20;8;12;43;9;8;3;34;27;13;;23;6;27
ke 13 maalis 2019 12:00;10;6;4;15;40;2;10;12;10;47;14;9;12;26;25;18;;19;10;33
ke 13 maalis 2019 13:00;10;13;10;9;26;3;8;8;8;43;11;7;8;29;19;8;;17;7;28
ke 13 maalis 2019 14:00;13;13;21;22;39;3;13;11;17;37;18;14;8;31;21;17;;31;10;40
ke 13 maalis 2019 15:00;40;14;54;31;62;13;30;32;31;112;40;34;20;63;55;31;;53;18;91
ke 13 maalis 2019 16:00;57;33;66;55;90;13;64;70;55;154;47;74;44;100;63;35;;95;28;155
ke 13 maalis 2019 17:00;44;26;51;47;85;8;45;61;60;146;37;62;29;85;57;27;;74;16;120
ke 13 maalis 2019 18:00;28;18;26;25;63;12;28;40;29;107;33;41;18;79;50;27;;52;20;77
ke 13 maalis 2019 19:00;13;19;17;19;47;3;15;16;16;62;33;39;12;41;24;14;;26;7;38
ke 13 maalis 2019 20:00;11;8;11;10;39;6;8;10;14;42;18;12;5;36;25;11;;31;16;40
ke 13 maalis 2019 21:00;8;5;7;7;26;1;8;8;5;31;10;11;3;23;20;11;;16;7;28
ke 13 maalis 2019 22:00;3;3;5;4;12;2;4;2;3;8;3;7;1;8;10;5;;10;4;11
ke 13 maalis 2019 23:00;0;0;1;4;7;0;0;5;2;5;1;2;0;10;10;2;;5;2;3
to 14 maalis 2019 00:00;0;0;1;0;3;0;0;0;0;4;0;1;1;3;1;1;;0;1;4
to 14 maalis 2019 01:00;0;0;7;0;2;0;0;1;1;0;0;0;1;1;2;0;;0;1;2
to 14 maalis 2019 02:00;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;0;0;0
to 14 maalis 2019 03:00;0;0;10;0;0;0;1;0;1;0;0;1;0;0;1;0;;4;3;0
to 14 maalis 2019 04:00;0;2;5;0;1;0;3;0;0;1;0;0;0;3;4;1;;4;2;3
to 14 maalis 2019 05:00;0;0;6;2;2;1;2;2;7;9;2;5;3;6;2;1;;8;5;10
to 14 maalis 2019 06:00;4;2;31;10;11;4;15;17;28;39;13;20;5;19;5;7;;44;10;34
to 14 maalis 2019 07:00;43;14;59;34;39;8;44;55;54;97;56;63;17;50;31;7;;89;24;80
to 14 maalis 2019 08:00;73;21;74;57;97;9;59;83;59;151;48;106;19;112;43;23;;105;39;150
to 14 maalis 2019 09:00;25;19;26;44;51;5;18;25;24;85;29;43;5;78;31;15;;46;13;100
to 14 maalis 2019 10:00;11;12;8;15;31;1;14;14;6;37;8;11;5;26;30;11;;11;3;26
to 14 maalis 2019 11:00;5;14;4;9;20;1;12;5;6;24;15;7;5;16;11;15;;9;2;22
to 14 maalis 2019 12:00;7;4;3;15;39;0;7;15;4;30;7;18;5;18;17;25;;9;6;27
to 14 maalis 2019 13:00;6;11;15;10;22;1;8;11;11;27;10;19;9;26;17;19;;14;4;21
to 14 maalis 2019 14:00;14;15;16;14;40;4;14;9;6;34;15;16;5;24;21;21;;17;11;33
to 14 maalis 2019 15:00;29;15;43;34;56;8;19;27;34;77;38;42;15;55;40;26;;65;21;72
to 14 maalis 2019 16:00;41;28;48;56;80;7;51;44;52;132;47;75;24;89;42;25;;85;35;127
to 14 maalis 2019 17:00;47;31;55;39;82;7;29;71;48;126;47;64;23;84;46;23;;56;20;105
to 14 maalis 2019 18:00;33;11;22;29;64;5;22;26;30;85;29;44;12;69;39;25;;34;10;81
to 14 maalis 2019 19:00;18;11;14;11;24;5;16;15;18;49;30;22;14;40;19;9;;22;6;27
to 14 maalis 2019 20:00;10;7;10;8;19;3;3;8;7;34;10;23;5;17;15;11;;11;8;36
to 14 maalis 2019 21:00;6;3;10;6;26;0;10;5;6;24;15;11;3;22;13;8;;14;3;22
to 14 maalis 2019 22:00;1;5;6;8;10;0;1;3;4;6;4;7;1;6;5;4;;9;3;8
to 14 maalis 2019 23:00;1;1;2;3;9;0;1;2;2;6;0;1;1;8;3;2;;2;3;5
pe 15 maalis 2019 00:00;0;0;0;1;2;0;1;0;0;3;0;1;0;1;1;0;;0;8;2
pe 15 maalis 2019 01:00;0;0;0;0;0;0;1;2;0;2;1;1;0;1;2;0;;0;5;3
pe 15 maalis 2019 02:00;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;;0;1;1
pe 15 maalis 2019 03:00;0;2;2;0;0;0;0;0;1;0;0;1;0;2;1;0;;1;1;0
pe 15 maalis 2019 04:00;0;1;5;2;0;1;3;0;1;3;0;0;1;0;0;1;;4;5;1
pe 15 maalis 2019 05:00;0;1;6;1;2;2;5;3;4;7;2;3;1;4;4;0;;5;2;7
pe 15 maalis 2019 06:00;7;5;27;11;15;3;26;10;25;35;11;20;5;22;11;3;;38;21;30
pe 15 maalis 2019 07:00;51;8;64;32;48;9;62;49;48;92;54;58;20;56;17;7;;72;33;78
pe 15 maalis 2019 08:00;58;24;64;52;57;17;59;74;52;137;50;114;24;102;34;19;;97;33;127
pe 15 maalis 2019 09:00;24;21;21;34;51;6;28;34;17;73;32;56;6;74;32;13;;40;16;97
pe 15 maalis 2019 10:00;5;6;8;13;43;3;14;8;16;33;15;15;11;34;22;26;;15;10;28
pe 15 maalis 2019 11:00;3;4;4;12;38;3;19;8;13;39;11;7;8;30;18;18;;17;6;34
pe 15 maalis 2019 12:00;3;14;9;6;43;4;16;13;8;32;15;7;11;33;28;21;;19;10;27
pe 15 maalis 2019 13:00;8;8;6;12;42;1;11;6;6;30;13;10;8;23;23;24;;13;11;22
pe 15 maalis 2019 14:00;12;15;29;22;48;0;21;20;12;42;14;22;13;42;24;19;;29;18;41
pe 15 maalis 2019 15:00;27;11;33;32;55;7;41;35;31;77;46;39;20;61;45;27;;51;22;61
pe 15 maalis 2019 16:00;35;26;62;38;75;15;44;59;49;133;56;70;22;70;43;31;;81;36;107
pe 15 maalis 2019 17:00;38;26;43;23;72;8;49;42;40;91;50;60;25;86;46;19;;64;17;96
pe 15 maalis 2019 18:00;10;13;22;24;43;5;19;25;22;50;17;32;6;38;28;17;;23;13;55
pe 15 maalis 2019 19:00;6;11;13;9;41;3;13;7;16;36;21;22;5;35;21;27;;18;11;26
pe 15 maalis 2019 20:00;5;2;9;8;31;1;8;5;4;30;13;9;1;22;15;21;;10;5;23
pe 15 maalis 2019 21:00;8;2;2;9;17;1;9;5;9;16;16;8;3;21;11;14;;12;8;19
pe 15 maalis 2019 22:00;0;3;4;7;8;1;7;2;2;14;7;7;2;12;12;2;;6;2;13
pe 15 maalis 2019 23:00;1;0;1;2;8;0;2;2;0;8;1;3;0;7;4;3;;4;5;4
la 16 maalis 2019 00:00;2;1;2;3;12;0;3;2;2;7;3;3;0;7;8;5;;6;0;5
la 16 maalis 2019 01:00;0;0;0;3;4;1;1;2;1;2;1;0;2;3;6;2;;4;1;4
la 16 maalis 2019 02:00;0;0;0;1;2;1;1;0;2;0;0;0;1;0;1;3;;1;0;1
la 16 maalis 2019 03:00;0;0;0;0;1;1;1;0;0;3;0;0;0;1;1;0;;0;1;5
la 16 maalis 2019 04:00;0;0;0;0;3;0;1;0;0;1;1;1;0;1;0;2;;0;3;1
la 16 maalis 2019 05:00;0;0;1;6;1;0;2;0;0;2;0;0;2;0;2;0;;5;0;1
la 16 maalis 2019 06:00;0;1;1;2;1;0;2;1;4;5;3;2;1;1;1;2;;10;2;1
la 16 maalis 2019 07:00;0;2;3;0;3;1;1;3;4;3;6;5;2;6;4;2;;6;2;8
la 16 maalis 2019 08:00;3;3;5;3;4;0;6;4;6;12;7;1;4;2;5;2;;8;3;10
la 16 maalis 2019 09:00;4;4;5;8;20;2;8;5;12;18;5;15;3;15;14;9;;10;7;27
la 16 maalis 2019 10:00;5;5;7;4;17;4;9;8;12;14;4;10;5;23;20;7;;19;9;24
la 16 maalis 2019 11:00;4;4;9;12;28;4;11;6;7;29;11;10;9;25;25;14;;9;7;26
la 16 maalis 2019 12:00;2;11;7;7;37;3;13;9;10;34;24;13;6;21;24;12;;7;5;25
la 16 maalis 2019 13:00;4;2;13;9;28;0;20;26;16;47;18;11;11;26;21;20;;20;11;27
la 16 maalis 2019 14:00;5;10;5;10;33;6;17;14;12;43;13;19;5;28;27;25;;12;8;31
la 16 maalis 2019 15:00;1;7;10;11;29;3;11;7;15;35;18;8;3;24;18;22;;13;6;28
la 16 maalis 2019 16:00;8;10;7;15;40;0;9;8;11;40;18;11;7;27;28;27;;14;12;37
la 16 maalis 2019 17:00;6;6;9;9;25;6;14;11;10;36;23;16;4;15;14;17;;14;10;32
la 16 maalis 2019 18:00;3;7;8;4;25;0;11;6;7;24;13;14;6;17;14;11;;11;4;12
la 16 maalis 2019 19:00;1;5;1;10;10;0;4;3;4;12;4;8;7;12;10;9;;13;0;10
la 16 maalis 2019 20:00;1;6;6;3;15;0;8;1;4;14;6;4;3;12;11;5;;7;5;12
la 16 maalis 2019 21:00;1;3;3;7;11;0;2;2;5;8;3;3;4;9;11;7;;8;7;8
la 16 maalis 2019 22:00;2;0;0;2;5;0;2;2;3;8;1;1;2;9;0;2;;5;3;12
la 16 maalis 2019 23:00;0;3;0;2;8;0;1;1;0;10;1;1;1;4;4;5;;2;8;1
su 17 maalis 2019 00:00;0;2;2;3;1;0;2;0;5;8;2;1;1;2;7;3;;4;0;4
su 17 maalis 2019 01:00;0;1;0;4;4;0;5;1;0;2;1;3;3;0;4;6;;0;0;0
su 17 maalis 2019 02:00;0;1;0;1;4;1;3;1;1;2;0;2;0;1;2;5;;2;2;0
su 17 maalis 2019 03:00;0;2;1;3;0;0;0;0;0;1;0;0;0;2;1;2;;0;0;1
su 17 maalis 2019 04:00;0;0;1;0;1;0;2;0;1;2;1;1;1;0;0;1;;1;2;0
su 17 maalis 2019 05:00;0;1;0;2;2;0;2;0;3;1;0;0;1;2;1;2;;2;0;4
su 17 maalis 2019 06:00;0;1;1;2;2;0;4;1;5;2;1;1;0;4;0;1;;10;5;0
su 17 maalis 2019 07:00;0;1;4;1;3;0;0;3;3;6;4;3;2;5;3;0;;12;0;2
su 17 maalis 2019 08:00;3;2;6;0;5;2;1;4;0;8;7;3;0;5;3;1;;3;3;5
su 17 maalis 2019 09:00;5;2;6;8;11;3;3;7;8;23;9;10;4;12;9;9;;12;7;20
su 17 maalis 2019 10:00;15;3;16;10;5;5;13;8;12;26;7;10;7;17;8;7;;21;19;17
su 17 maalis 2019 11:00;6;5;17;14;20;3;22;15;18;32;19;13;6;34;21;11;;22;14;28
su 17 maalis 2019 12:00;10;8;23;11;30;3;22;15;21;63;26;18;15;25;23;15;;20;17;33
su 17 maalis 2019 13:00;6;6;7;9;31;5;15;18;16;50;33;29;5;40;29;23;;20;12;33
su 17 maalis 2019 14:00;7;10;15;12;36;8;20;16;20;59;24;15;4;36;26;24;;20;10;45
su 17 maalis 2019 15:00;3;15;11;15;39;2;18;13;24;50;26;19;9;33;31;20;;20;13;40
su 17 maalis 2019 16:00;6;6;13;14;40;2;17;12;15;53;22;22;8;33;22;16;;16;9;36
su 17 maalis 2019 17:00;2;4;9;5;24;0;9;1;10;24;13;10;6;27;17;13;;12;3;29
su 17 maalis 2019 18:00;3;3;4;3;19;2;10;3;7;27;14;8;5;24;8;8;;16;4;18
su 17 maalis 2019 19:00;4;6;6;6;10;1;9;2;6;15;7;4;5;13;7;5;;22;4;14
su 17 maalis 2019 20:00;6;2;6;8;9;2;5;1;3;7;13;4;4;12;4;5;;9;1;9
su 17 maalis 2019 21:00;0;1;1;1;8;0;3;2;3;2;3;4;0;7;8;3;;3;4;11
su 17 maalis 2019 22:00;0;0;1;3;5;0;4;1;2;0;2;2;0;0;2;2;;5;2;5
su 17 maalis 2019 23:00;0;0;1;1;1;1;1;1;2;1;1;0;0;3;2;0;;3;0;2
ma 18 maalis 2019 00:00;1;1;1;1;1;0;0;0;1;1;1;0;0;2;0;2;;1;0;1
ma 18 maalis 2019 01:00;0;1;0;0;1;0;1;0;1;0;0;0;2;1;2;0;;1;0;1
ma 18 maalis 2019 02:00;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;;0;0;0
ma 18 maalis 2019 03:00;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;;0;5;0
ma 18 maalis 2019 04:00;0;0;4;2;1;1;5;0;1;2;0;1;1;0;0;1;;1;2;2
ma 18 maalis 2019 05:00;1;1;7;6;4;4;3;1;7;8;6;2;0;3;3;4;;12;5;10
ma 18 maalis 2019 06:00;6;2;31;12;18;7;34;19;35;43;17;19;8;16;15;4;;57;7;35
ma 18 maalis 2019 07:00;62;12;99;46;49;18;68;54;69;125;81;86;17;81;40;13;;105;41;101
ma 18 maalis 2019 08:00;84;35;92;80;118;19;76;123;90;201;97;140;30;158;78;26;;165;48;218
ma 18 maalis 2019 09:00;28;30;41;49;76;11;36;40;33;127;50;61;11;107;67;20;;64;19;138
ma 18 maalis 2019 10:00;11;13;13;18;47;4;16;17;13;35;19;15;7;45;39;23;;28;7;43
ma 18 maalis 2019 11:00;9;19;6;23;29;0;16;10;14;44;14;12;10;26;21;20;;18;8;37
ma 18 maalis 2019 12:00;10;8;5;16;36;2;11;9;7;40;17;13;7;29;23;19;;19;17;37
ma 18 maalis 2019 13:00;10;11;7;23;54;3;12;13;9;41;20;13;7;32;39;23;;14;11;43
ma 18 maalis 2019 14:00;15;6;25;15;51;5;14;17;14;35;35;26;15;36;33;23;;36;16;39
ma 18 maalis 2019 15:00;30;20;35;37;75;10;42;42;34;93;60;53;31;76;65;34;;65;18;100
ma 18 maalis 2019 16:00;59;29;113;69;109;27;84;75;73;189;90;104;36;123;91;53;;99;35;158
ma 18 maalis 2019 17:00;41;43;76;59;116;14;49;89;65;181;66;84;31;126;71;23;;109;27;157
ma 18 maalis 2019 18:00;25;22;29;30;66;15;27;31;43;105;52;64;14;83;54;23;;54;24;111
ma 18 maalis 2019 19:00;16;17;14;18;56;10;24;16;27;72;37;23;10;52;37;20;;39;8;57
ma 18 maalis 2019 20:00;10;9;9;9;36;4;20;10;22;50;26;30;4;35;28;21;;23;7;46
ma 18 maalis 2019 21:00;8;5;7;5;15;4;10;14;4;24;14;20;5;20;9;11;;17;3;25
ma 18 maalis 2019 22:00;3;2;4;2;7;0;3;1;5;6;5;5;3;7;7;6;;7;2;9
ma 18 maalis 2019 23:00;1;0;6;1;3;0;1;1;1;6;0;3;0;2;6;2;;3;3;5
ti 19 maalis 2019 00:00;0;1;1;2;3;1;2;4;1;4;0;2;1;1;2;0;;8;0;4
ti 19 maalis 2019 01:00;2;0;1;0;2;1;0;0;1;1;1;1;0;0;2;0;;2;1;0
ti 19 maalis 2019 02:00;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;;0;0;0
ti 19 maalis 2019 03:00;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;0;2;1
ti 19 maalis 2019 04:00;0;0;3;1;1;1;6;0;1;1;1;2;0;3;2;2;;3;4;4
ti 19 maalis 2019 05:00;0;0;14;4;4;4;2;4;10;5;5;3;1;6;2;2;;15;5;7
ti 19 maalis 2019 06:00;13;4;40;19;17;8;21;24;31;48;23;26;9;24;10;4;;57;20;41
ti 19 maalis 2019 07:00;53;15;85;38;57;14;75;66;89;120;78;94;23;79;43;16;;111;31;116
ti 19 maalis 2019 08:00;92;55;99;87;124;21;94;104;103;227;89;145;26;172;84;27;;178;49;203
ti 19 maalis 2019 09:00;28;27;25;49;73;10;32;50;34;110;46;52;9;105;56;27;;62;21;121
ti 19 maalis 2019 10:00;10;16;8;17;43;3;14;14;20;40;22;26;11;35;30;28;;21;12;42
ti 19 maalis 2019 11:00;6;15;6;16;45;1;19;13;17;40;26;26;13;32;32;23;;19;6;45
ti 19 maalis 2019 12:00;7;17;11;24;49;5;17;20;9;33;15;6;7;34;38;20;;25;10;53
ti 19 maalis 2019 13:00;9;12;8;19;44;2;22;14;17;42;24;22;13;31;29;21;;29;14;48
ti 19 maalis 2019 14:00;9;23;25;19;38;7;11;17;19;43;19;18;9;43;38;24;;34;9;38
ti 19 maalis 2019 15:00;23;23;60;45;92;13;41;35;44;75;70;57;28;62;54;39;;76;20;99
ti 19 maalis 2019 16:00;69;47;83;78;132;21;87;80;82;183;101;104;37;128;75;36;;120;39;171
ti 19 maalis 2019 17:00;39;36;72;62;100;11;41;84;69;174;62;117;25;113;90;33;;107;42;158
ti 19 maalis 2019 18:00;28;40;38;27;86;15;37;32;39;107;49;49;15;84;56;30;;54;18;97
ti 19 maalis 2019 19:00;9;23;27;27;47;5;23;14;36;75;41;48;11;73;43;14;;43;16;72
ti 19 maalis 2019 20:00;14;17;13;12;34;6;17;13;16;38;35;33;10;34;32;12;;26;7;38
ti 19 maalis 2019 21:00;9;8;12;9;23;1;9;5;10;43;15;16;4;26;15;18;;13;7;43
ti 19 maalis 2019 22:00;7;3;5;6;16;0;4;3;4;14;8;8;4;9;6;4;;11;0;14
ti 19 maalis 2019 23:00;1;1;2;0;3;2;1;1;0;5;2;1;1;5;1;4;;5;3;6
ke 20 maalis 2019 00:00;0;1;1;1;2;0;1;1;3;5;2;1;1;0;1;2;;1;3;0
ke 20 maalis 2019 01:00;0;0;1;0;1;1;0;0;1;2;0;1;0;1;0;0;;2;0;3
ke 20 maalis 2019 02:00;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;0;0;0
ke 20 maalis 2019 03:00;0;0;1;0;0;1;0;0;1;1;0;0;0;3;0;2;;1;1;0
ke 20 maalis 2019 04:00;1;0;5;1;0;1;6;0;4;2;0;0;0;2;0;2;;8;1;3
ke 20 maalis 2019 05:00;0;0;12;8;5;4;4;3;10;8;4;3;1;6;4;7;;14;3;9
ke 20 maalis 2019 06:00;13;9;39;19;25;5;34;24;42;57;31;27;14;26;22;4;;62;22;48
ke 20 maalis 2019 07:00;71;19;110;46;65;15;66;70;83;149;102;88;22;98;42;16;;129;33;131
ke 20 maalis 2019 08:00;93;32;95;83;132;17;89;105;97;235;101;135;30;155;70;21;;153;43;206
ke 20 maalis 2019 09:00;25;32;34;47;81;8;44;45;44;138;59;64;12;92;68;30;;86;20;122
ke 20 maalis 2019 10:00;11;23;20;21;50;7;16;20;13;58;21;28;6;39;29;25;;24;16;43
ke 20 maalis 2019 11:00;8;21;11;19;47;6;22;12;13;49;20;23;13;54;42;26;;20;10;36
ke 20 maalis 2019 12:00;5;23;10;22;49;6;22;14;13;44;29;18;13;30;37;26;;26;23;43
ke 20 maalis 2019 13:00;12;20;16;27;45;5;14;13;13;37;27;16;11;38;35;20;;22;9;40
ke 20 maalis 2019 14:00;14;17;16;22;59;8;24;19;25;43;29;18;14;40;43;29;;37;15;46
ke 20 maalis 2019 15:00;25;29;51;39;64;76;41;56;40;74;54;55;28;59;49;21;;77;28;97
ke 20 maalis 2019 16:00;60;31;90;75;113;10;74;75;66;151;86;121;37;100;81;30;;107;38;156
ke 20 maalis 2019 17:00;56;26;73;69;109;13;54;89;71;140;67;103;25;111;86;31;;109;26;144
ke 20 maalis 2019 18:00;24;33;44;44;64;9;31;28;34;134;45;41;14;90;54;23;;52;19;85
ke 20 maalis 2019 19:00;15;18;17;20;54;11;21;17;23;60;37;38;10;36;41;22;;36;6;55
ke 20 maalis 2019 20:00;8;11;11;20;18;4;18;12;17;42;27;24;9;35;24;15;;26;2;34
ke 20 maalis 2019 21:00;7;6;14;13;27;2;8;7;7;44;21;9;13;30;29;14;;15;11;31
ke 20 maalis 2019 22:00;0;3;4;3;10;1;4;1;6;15;4;3;2;7;8;6;;7;1;12
ke 20 maalis 2019 23:00;1;3;3;2;3;0;6;3;1;5;4;2;2;5;3;6;;2;1;2
to 21 maalis 2019 00:00;0;2;3;1;5;1;4;3;1;3;0;0;3;0;1;4;;3;0;2
to 21 maalis 2019 01:00;0;0;0;1;0;0;1;0;0;5;0;1;0;0;1;0;;2;1;0
to 21 maalis 2019 02:00;0;1;1;1;1;0;2;0;0;0;0;0;0;2;0;0;;1;0;0
to 21 maalis 2019 03:00;0;0;1;0;0;0;0;0;5;0;0;0;1;3;3;0;;1;8;1
to 21 maalis 2019 04:00;1;3;3;1;1;2;6;0;3;3;0;3;0;8;1;1;;6;9;3
to 21 maalis 2019 05:00;2;0;13;6;4;3;1;6;12;6;3;2;3;10;4;5;;16;13;14
to 21 maalis 2019 06:00;11;6;45;26;19;4;26;19;28;51;19;27;4;31;20;3;;50;16;47
to 21 maalis 2019 07:00;67;19;105;56;63;12;86;68;96;158;97;100;31;84;48;16;;131;37;125
to 21 maalis 2019 08:00;94;64;98;103;117;28;91;116;90;239;107;156;29;162;88;29;;159;51;220
to 21 maalis 2019 09:00;35;40;34;51;84;10;37;43;39;120;58;66;16;117;60;21;;63;32;125
to 21 maalis 2019 10:00;11;24;18;30;57;8;21;25;20;67;33;34;11;41;36;28;;22;9;58
to 21 maalis 2019 11:00;11;33;13;28;64;4;24;14;17;55;37;21;9;48;30;38;;27;10;44
to 21 maalis 2019 12:00;7;25;13;21;64;3;20;30;14;49;23;19;21;54;41;28;;23;21;47
to 21 maalis 2019 13:00;23;41;13;26;70;4;19;16;17;59;28;34;11;42;37;32;;24;15;59
to 21 maalis 2019 14:00;13;36;25;23;102;3;19;22;21;49;31;28;20;48;37;38;;31;16;68
to 21 maalis 2019 15:00;37;38;61;58;90;12;41;47;63;106;77;60;36;80;68;38;;102;37;116
to 21 maalis 2019 16:00;68;57;117;75;146;16;81;84;84;194;117;116;43;124;93;46;;127;46;195
to 21 maalis 2019 17:00;56;40;77;73;129;20;57;60;86;229;66;108;33;143;81;29;;112;33;171
to 21 maalis 2019 18:00;34;25;40;32;72;18;40;38;44;103;76;73;19;94;62;26;;62;16;102
to 21 maalis 2019 19:00;13;21;14;19;55;13;24;9;35;82;54;41;13;49;41;17;;36;3;50
to 21 maalis 2019 20:00;13;7;11;10;33;7;11;11;22;49;34;40;17;44;23;20;;31;11;41
to 21 maalis 2019 21:00;3;15;14;10;30;2;10;6;13;37;14;17;6;21;23;7;;13;3;31
to 21 maalis 2019 22:00;2;0;2;2;17;3;2;2;4;12;10;2;3;12;9;2;;7;1;20
